위치,법정동명,법정동코드,대피소명,경도,위도,수용가능인원,구,시,현재인원,비율,읍면동,담당자 연락처
경기도 의정부시 의정부동 562-0,경기도 의정부시 의정부동,41150101,백석천근린공원,127.0408007,37.73384036,1939,의정부시,경기도,1653,0.852501289,의정부동,010-8761-9059
경기도 의정부시 의정부동 222-35,경기도 의정부시 의정부동,41150101,역전근린공원,127.047,37.739612,12121,의정부시,경기도,8247,0.680389407,의정부동,010-5005-9946
경기도 의정부시 의정부동 611,경기도 의정부시 의정부동,41150101,상우고등학교,127.0373921,37.73147342,4848,의정부시,경기도,4161,0.858292079,의정부동,010-7635-8206
경기도 의정부시 의정부동 366,경기도 의정부시 의정부동,41150101,경의초등학교,127.0509844,37.73384265,9090,의정부시,경기도,2208,0.24290429,의정부동,010-3329-3296
경기도 의정부시 가능동 653-24,경기도 의정부시 가능동,41150110,의정부여자중학교,127.0397802,37.74958017,5979,의정부시,경기도,894,0.149523332,가능동,010-5251-7483
경기도 의정부시 가능동 359-3,경기도 의정부시 가능동,41150110,의정부고등학교,127.0309751,37.75451344,9333,의정부시,경기도,4132,0.442730098,가능동,010-9159-2291
경기도 의정부시 가능동 724-3,경기도 의정부시 가능동,41150110,가능초등학교,127.0356135,37.74602717,6060,의정부시,경기도,2317,0.382343234,가능동,010-7537-3663
경기도 안양시 동안구 관양동 1407-0,경기도 안양시 동안구,41173000,관양초등학교 운동장,126.9599075,37.40640674,6768,안양시,경기도,6450,0.953014184,동안구,010-3804-9511
경기도 안양시 동안구 관양동 1586-2,경기도 안양시 동안구,41173000,부안초등학교 운동장,126.9544732,37.39803258,7307,안양시,경기도,2572,0.351991241,동안구,010-8090-7055
경기도 안양시 동안구 비산동 1109-1,경기도 안양시 동안구,41173000,달안초등학교 운동장,126.9501163,37.39430382,6758,안양시,경기도,6520,0.96478248,동안구,010-2167-7628
경기도 안양시 동안구 비산동 1101-1,경기도 안양시 동안구,41173000,희성초등학교 운동장,126.9488725,37.39810144,14306,안양시,경기도,10478,0.732419964,동안구,010-1017-5821
경기도 안양시 만안구 박달동 114-3,경기도 안양시 만안구,41171000,삼봉초등학교 운동장,126.8994452,37.40283396,13569,안양시,경기도,8306,0.612130592,만안구,010-8810-2932
경기도 안양시 만안구 박달동 128-7,경기도 안양시 만안구,41171000,박달초등학교 운동장,126.902672,37.40117676,14458,안양시,경기도,7857,0.54343616,만안구,010-3964-7578
경기도 안양시 동안구 호계동 1075-1,경기도 안양시 동안구,41173000,신기중학교 운동장,126.9590788,37.37874522,8094,안양시,경기도,2142,0.264640474,동안구,010-6730-1854
경기도 안양시 동안구 호계동 1101,경기도 안양시 동안구,41173000,덕현초등학교 운동장,126.962141,37.37578188,8637,안양시,경기도,3764,0.435799467,동안구,010-8664-1160
경기도 안양시 동안구 평촌동 895-0,경기도 안양시 동안구,41173000,평촌중앙공원,126.9600594,37.39006796,145264,안양시,경기도,73828,0.508233286,동안구,010-7903-3549
경기도 안양시 동안구 평촌동 932,경기도 안양시 동안구,41173000,백영고등학교 운동장,126.9649795,37.38612521,9551,안양시,경기도,4166,0.436184693,동안구,010-9617-8116
경기도 안양시 동안구 관양동 1587-3,경기도 안양시 동안구,41173000,부림초등학교 운동장,126.9601838,37.3999846,8328,안양시,경기도,6210,0.745677233,동안구,010-5077-6769
경기도 안양시 동안구 관양동 210,경기도 안양시 동안구,41173000,인덕원초등학교 운동장,126.9794604,37.39697225,9406,안양시,경기도,7361,0.782585584,동안구,010-2560-6538
서울특별시 중구 신당동 36-234,서울특별시 중구 신당동,11140162,금호여자중학교 운동장,127.0203557,37.5584216,4808,중구,서울특별시,169,0.03514975,신당동,010-4825-1560
서울특별시 중구 신당동 292-66,서울특별시 중구 신당동,11140162,흥인초등학교 운동장,127.0142667,37.56039492,1623,중구,서울특별시,877,0.540357363,신당동,010-7020-1248
서울특별시 중구 장충동2가 173-7,서울특별시 중구 장충동2가,11140144,충무초등학교 운동장,127.0018826,37.5622609,4682,중구,서울특별시,2152,0.459632636,장충동2가,010-7624-3284
서울특별시 종로구 명륜3가 산2-14,서울특별시 종로구 명륜3가,11110173,와룡공원,126.990072,37.59109653,1454,종로구,서울특별시,918,0.631361761,명륜3가,010-8310-7914
서울특별시 종로구 창신동 산6-25,서울특별시 종로구 창신동,11110174,지봉골공원,127.0147276,37.57871922,1590,종로구,서울특별시,1092,0.686792453,창신동,010-7941-5771
경기도 광명시 광명동 172-77,경기도 광명시 광명동,41210101,너부대어린이공원,126.8481572,37.4786017,1569,광명시,경기도,1486,0.947100064,광명동,010-6113-3352
경기도 광명시 광명동 755,경기도 광명시 광명동,41210101,꿈동산어린이공원,126.847442,37.46969566,1454,광명시,경기도,630,0.433287483,광명동,010-7114-4392
경기도 광명시 광명동 745,경기도 광명시 광명동,41210101,우리또래어린이공원,126.8501361,37.46726811,2332,광명시,경기도,1300,0.557461407,광명동,010-1921-1619
경기도 광명시 소하동 1363-3,경기도 광명시 소하동,41210104,새터어린이공원,126.8917237,37.44868769,2482,광명시,경기도,1071,0.431506849,소하동,010-9273-5196
경기도 광명시 소하동 1378-1,경기도 광명시 소하동,41210104,영당말근린공원,126.8826332,37.43381209,19636,광명시,경기도,5482,0.279181096,소하동,010-4495-4456
경기도 평택시 합정동 838-0,경기도 평택시 합정동,41220117,합정초등학교 운동장,127.09808,36.989265,3757,평택시,경기도,379,0.10087836,합정동,010-6338-1916
경기도 평택시 비전동 802-0,경기도 평택시 비전동,41220118,덕동산근린공원,127.098224,36.99932375,13333,평택시,경기도,7720,0.579014475,비전동,010-5742-1559
경기도 평택시 신장동 370-2,경기도 평택시 신장동,41220112,신장근린공원,127.0512939,37.08608881,36363,평택시,경기도,11113,0.305612848,신장동,010-5132-8255
경기도 평택시 평택동 110-2,경기도 평택시 평택동,41220113,평택초등학교 운동장,127.081336,36.989201,5454,평택시,경기도,2666,0.488815548,평택동,010-9320-4111
전라남도 장성군 장성읍 영천리 880-0,전라남도 장성군 장성읍,46880250,장성중앙초등학교,126.7865,35.298793,6288,장성군,전라남도,1856,0.295165394,장성읍,010-7292-1371
전라남도 장성군 장성읍 기산리 388-0,전라남도 장성군 장성읍,46880250,홍길동체육관,126.767248,35.302261,2807,장성군,전라남도,2239,0.797648735,장성읍,010-1408-5465
경기도 남양주시 별내동 1075,경기도 남양주시 별내동,41360111,화접초등학교 운동장,127.1158967,37.65312301,2507,남양주시,경기도,813,0.324291982,별내동,010-2895-4227
경기도 남양주시 별내동 813-0,경기도 남양주시 별내동,41360111,남양주 덕송초등학교 운동장,127.1162751,37.668864,3098,남양주시,경기도,593,0.191413815,별내동,010-2119-1477
경기도 남양주시 별내동 863-0,경기도 남양주시 별내동,41360111,별내 체육공원 축구장,127.1209126,37.66275218,9866,남양주시,경기도,4490,0.455098317,별내동,010-2110-6926
경기도 남양주시 별내동 920-0,경기도 남양주시 별내동,41360111,별가람초등학교 운동장,127.1244145,37.65393942,3878,남양주시,경기도,1550,0.399690562,별내동,010-5947-5826
경기도 남양주시 이패동 산87-0,경기도 남양주시 이패동,41360105,남양주체육문화센터 운동장,127.1773711,37.60735836,175730,남양주시,경기도,133733,0.761014056,이패동,010-7641-7753
경기도 남양주시 금곡동 624-0,경기도 남양주시 금곡동,41360103,동곡초등학교 운동장,127.2038986,37.62848361,3295,남양주시,경기도,475,0.144157815,금곡동,010-7172-5891
경기도 남양주시 오남읍 양지리 616-5,경기도 남양주시 오남읍,41360262,양오초등학교 운동장,127.1919859,37.69730035,6671,남양주시,경기도,6172,0.925198621,오남읍,010-5334-5060
경기도 남양주시 금곡동 152-9,경기도 남양주시 금곡동,41360103,금곡중학교 운동장,127.2143261,37.63413179,4713,남양주시,경기도,1425,0.302355188,금곡동,010-3934-5511
경기도 남양주시 오남읍 양지리 74,경기도 남양주시 오남읍,41360262,양지초등학교 운동장,127.2061024,37.69916282,6946,남양주시,경기도,5880,0.846530377,오남읍,010-4330-1319
경기도 남양주시 오남읍 양지리 616-2,경기도 남양주시 오남읍,41360262,양오중학교 운동장,127.1931251,37.69745309,4739,남양주시,경기도,1316,0.277695716,오남읍,010-4300-1755
경기도 남양주시 진건읍 용정리 780-1,경기도 남양주시 진건읍,41360259,진건초등학교 운동장,127.1790637,37.65732104,7909,남양주시,경기도,219,0.027689973,진건읍,010-1569-5603
경기도 남양주시 진건읍 진관리 41-0,경기도 남양주시 진건읍,41360259,먹골구장,127.1759521,37.64958094,11689,남양주시,경기도,1658,0.141842758,진건읍,010-6855-3234
경기도 남양주시 진건읍 용정리 816-2,경기도 남양주시 진건읍,41360259,용신초등학교 운동장,127.1730321,37.66072103,5813,남양주시,경기도,2980,0.512644074,진건읍,010-6072-2110
경기도 남양주시 진건읍 사능리 634-8,경기도 남양주시 진건읍,41360259,진건중학교 운동장,127.1784271,37.65388233,8798,남양주시,경기도,1995,0.226756081,진건읍,010-1213-8636
경기도 남양주시 진건읍 사능리 360-1,경기도 남양주시 진건읍,41360259,사능초등학교 운동장,127.1840657,37.65521655,4797,남양주시,경기도,2128,0.44361059,진건읍,010-9549-2971
경기도 남양주시 화도읍 차산리 79-9,경기도 남양주시 화도읍,41360256,차산초등학교 운동장,127.3012425,37.63604982,3545,남양주시,경기도,1648,0.464880113,화도읍,010-7070-9272
경기도 남양주시 화도읍 녹촌리 569-0,경기도 남양주시 화도읍,41360256,은솔초등학교 운동장,127.2949,37.6502,4557,남양주시,경기도,1733,0.380294053,화도읍,010-4575-4660
경기도 남양주시 화도읍 녹촌리 69-0,경기도 남양주시 화도읍,41360256,마석고등학교 운동장,127.299399,37.64381133,5106,남양주시,경기도,1831,0.358597728,화도읍,010-6972-9188
경기도 남양주시 화도읍 창현리 766-0,경기도 남양주시 화도읍,41360256,창현초등학교 운동장,127.3020596,37.64553726,7250,남양주시,경기도,992,0.136827586,화도읍,010-5549-3602
경기도 남양주시 화도읍 창현리 517-1,경기도 남양주시 화도읍,41360256,마석초등학교 운동장,127.304775,37.64916133,6375,남양주시,경기도,3042,0.477176471,화도읍,010-7406-1858
경기도 남양주시 화도읍 창현리 742-0,경기도 남양주시 화도읍,41360256,마석중학교 운동장,127.3048369,37.64817239,4732,남양주시,경기도,931,0.196745562,화도읍,010-2061-3297
경기도 남양주시 화도읍 월산리 99-0,경기도 남양주시 화도읍,41360256,남양주 공업고등학교 운동장,127.33389,37.65297131,2909,남양주시,경기도,2771,0.952561018,화도읍,010-2989-6723
경기도 남양주시 화도읍 답내리 270-2,경기도 남양주시 화도읍,41360256,답내초등학교 운동장,127.3467967,37.6621139,4484,남양주시,경기도,253,0.056422837,화도읍,010-2122-7579
경기도 남양주시 화도읍 금남리 372,경기도 남양주시 화도읍,41360256,금남초등학교 운동장,127.3623712,37.64413799,2601,남양주시,경기도,1438,0.552864283,화도읍,010-4038-9833
경기도 남양주시 화도읍 묵현리 472-3,경기도 남양주시 화도읍,41360256,천마중학교 운동장,127.2764745,37.65628794,3921,남양주시,경기도,833,0.212445805,화도읍,010-3385-9059
경기도 남양주시 화도읍 마석우리 194-3,경기도 남양주시 화도읍,41360256,화도초등학교 운동장,127.3081529,37.66284683,4250,남양주시,경기도,3899,0.917411765,화도읍,010-6157-6268
경기도 남양주시 화도읍 마석우리 590-0,경기도 남양주시 화도읍,41360256,송라초등학교 운동장,127.301615,37.65404384,3808,남양주시,경기도,3022,0.793592437,화도읍,010-8680-8098
경기도 남양주시 화도읍 마석우리 215-1,경기도 남양주시 화도읍,41360256,심석고등학교 운동장,127.3068841,37.65662389,9654,남양주시,경기도,6111,0.633001865,화도읍,010-6749-9206
경기도 남양주시 진접읍 금곡리 1079,경기도 남양주시 진접읍,41360253,진접고등학교 운동장,127.1901908,37.71571262,3612,남양주시,경기도,2124,0.588039867,진접읍,010-9765-2818
경기도 남양주시 화도읍 마석우리 592-0,경기도 남양주시 화도읍,41360256,송라중학교 운동장,127.302837,37.65422308,4213,남양주시,경기도,3803,0.902682174,화도읍,010-9682-3214
경기도 남양주시 진접읍 금곡리 1077-2,경기도 남양주시 진접읍,41360253,해밀초등학교 운동장,127.1960754,37.71852777,3830,남양주시,경기도,2581,0.673890339,진접읍,010-3158-7074
경기도 남양주시 진접읍 금곡리 1003,경기도 남양주시 진접읍,41360253,주곡중학교 운동장,127.2069524,37.7252609,5012,남양주시,경기도,4992,0.996009577,진접읍,010-5310-8142
경기도 남양주시 진접읍 팔야리 762-0,경기도 남양주시 진접읍,41360253,광릉초등학교 운동장,127.2072552,37.74565283,4077,남양주시,경기도,1191,0.292126564,진접읍,010-3319-3824
경기도 남양주시 진접읍 진벌리 611,경기도 남양주시 진접읍,41360253,광릉중학교 운동장,127.2137419,37.74265214,2927,남양주시,경기도,1959,0.669285958,진접읍,010-5939-7337
대구광역시 동구 신천동 185-1,대구광역시 동구 신천동,27140102,신천초등학교(운동장),128.6206893,35.8713694,8054,동구,대구광역시,6125,0.760491681,신천동,010-3946-1313
대구광역시 동구 신천동 742,대구광역시 동구 신천동,27140102,동대구로동네체육공원,128.6263224,35.86740138,8147,동구,대구광역시,2063,0.253222045,신천동,010-1746-6077
대구광역시 동구 신천동 490,대구광역시 동구 신천동,27140102,효신초등학교(운동장),128.632288,35.87250798,12840,동구,대구광역시,1684,0.131152648,신천동,010-6750-5062
대구광역시 동구 신암동 371-1,대구광역시 동구 신암동,27140101,대구선아양공원,128.6341404,35.88273166,27321,동구,대구광역시,20702,0.757732147,신암동,010-9028-9299
대구광역시 동구 신암동 134-87,대구광역시 동구 신암동,27140101,신성초등학교(운동장),128.62994,35.89066718,1951,동구,대구광역시,1494,0.765761148,신암동,010-1469-9360
대구광역시 동구 신암동 28,대구광역시 동구 신암동,27140101,신아중학교(운동장),128.634912,35.888522,9973,동구,대구광역시,2237,0.224305625,신암동,010-2196-9314
대구광역시 동구 신암동 80-0,대구광역시 동구 신암동,27140101,대구관광고등학교(운동장),128.6318126,35.89040472,7741,동구,대구광역시,4667,0.602893683,신암동,010-7166-9715
대구광역시 동구 신암동 208-1,대구광역시 동구 신암동,27140101,동대구초등학교(운동장),128.6210371,35.87920454,5105,동구,대구광역시,1556,0.304799216,신암동,010-4480-7498
대구광역시 동구 신암동 647-0,대구광역시 동구 신암동,27140101,신암공원,128.6234577,35.8886788,126127,동구,대구광역시,125863,0.997906872,신암동,010-1684-2710
대구광역시 동구 신암동 279-1,대구광역시 동구 신암동,27140101,덕성초등학교(운동장),128.6284461,35.88170327,5040,동구,대구광역시,4904,0.973015873,신암동,010-7709-4463
대구광역시 동구 신암동 1463-0,대구광역시 동구 신암동,27140101,아양초등학교(운동장),128.6374328,35.88681763,12123,동구,대구광역시,5911,0.487585581,신암동,010-8331-9641
대구광역시 동구 신암동 672-1,대구광역시 동구 신암동,27140101,동부초등학교(운동장),128.6203511,35.88816333,10455,동구,대구광역시,6791,0.649545672,신암동,010-4386-8240
전라남도 장성군 장성읍 영천리 610-2,전라남도 장성군 장성읍,46880250,장성중학교,126.792286,35.309291,7709,장성군,전라남도,4307,0.558697626,장성읍,010-2175-8929
경기도 안산시 상록구 사동 1538,경기도 안산시 상록구,41271000,성안중학교 운동장,126.8483184,37.3039864,4781,안산시,경기도,1078,0.225475842,상록구,010-9576-6540
경기도 평택시 포승읍 도곡리 1112-0,경기도 평택시 포승읍,41220256,도곡중학교 운동장,126.848975,36.989201,3151,평택시,경기도,111,0.035226912,포승읍,010-7871-4576
경기도 동두천시 지행동 685,경기도 동두천시 지행동,41250102,동두천신천초등학교 운동장,127.047806,37.89408729,3818,동두천시,경기도,1977,0.517810372,지행동,010-3595-2589
경기도 동두천시 생연동 160-14,경기도 동두천시 생연동,41250103,보산초등학교 운동장,127.063836,37.91449139,4848,동두천시,경기도,19,0.003919142,생연동,010-6997-5346
경기도 동두천시 지행동 717-7,경기도 동두천시 지행동,41250102,이담초등학교 운동장,127.0510123,37.88946404,3818,동두천시,경기도,984,0.257726558,지행동,010-7684-2105
경기도 안산시 상록구 월피동 523,경기도 안산시 상록구,41271000,안산광덕초등학교 운동장,126.8438908,37.33289657,8013,안산시,경기도,7825,0.976538126,상록구,010-7543-4905
경기도 안산시 상록구 사동 1193-0,경기도 안산시 상록구,41271000,석호초등학교 운동장,126.8481142,37.30095566,6021,안산시,경기도,2480,0.411891712,상록구,010-5520-9133
경기도 안산시 상록구 사동 1342-1,경기도 안산시 상록구,41271000,시곡중학교 운동장,126.8561945,37.2925657,7346,안산시,경기도,4266,0.580724204,상록구,010-7517-5815
경기도 안산시 상록구 사동 1253-8,경기도 안산시 상록구,41271000,사동 임시공영주차장,126.852612,37.30168454,34270,안산시,경기도,32844,0.958389262,상록구,010-2630-4808
경기도 안산시 단원구 와동 846,경기도 안산시 단원구,41273000,화랑초등학교 운동장,126.8186596,37.33086051,8936,안산시,경기도,7038,0.787600716,단원구,010-4874-3026
경기도 안산시 단원구 와동 704,경기도 안산시 단원구,41273000,와동초등학교 운동장,126.8312382,37.33671842,5558,안산시,경기도,5024,0.903922274,단원구,010-1743-3473
경기도 안산시 단원구 와동 828,경기도 안산시 단원구,41273000,안산강서고등학교 운동장,126.8184474,37.33455651,9179,안산시,경기도,932,0.101536115,단원구,010-8263-4025
경기도 안산시 단원구 고잔동 677,경기도 안산시 단원구,41273000,경안고등학교 운동장,126.8337372,37.32565539,10021,안산시,경기도,928,0.092605528,단원구,010-6494-6726
경기도 안산시 단원구 고잔동 765-1,경기도 안산시 단원구,41273000,송호중학교 운동장,126.8393767,37.3110981,6143,안산시,경기도,1580,0.257203321,단원구,010-4016-7559
경기도 안산시 단원구 고잔동 640,경기도 안산시 단원구,41273000,서울예술대학교 운동장,126.8379578,37.33271307,7344,안산시,경기도,1918,0.261165577,단원구,010-8900-8077
경기도 안산시 단원구 고잔동 712-1,경기도 안산시 단원구,41273000,안산진흥초등학교 운동장,126.8222419,37.31210551,4475,안산시,경기도,616,0.137653631,단원구,010-7998-8810
경기도 안산시 단원구 고잔동 781-2,경기도 안산시 단원구,41273000,양지중학교 운동장,126.8332447,37.3048202,5860,안산시,경기도,5239,0.894027304,단원구,010-7507-1420
경기도 안산시 단원구 고잔동 676-1,경기도 안산시 단원구,41273000,덕성초등학교 운동장,126.8367991,37.3275076,9088,안산시,경기도,98,0.010783451,단원구,010-1077-1702
경기도 안산시 단원구 고잔동 720-1,경기도 안산시 단원구,41273000,슬기초등학교 운동장,126.8259701,37.30534401,4107,안산시,경기도,2208,0.5376187,단원구,010-5314-1950
경기도 안산시 단원구 대부동동 838,경기도 안산시 단원구,41273000,대동초등학교 운동장,126.6001348,37.24093139,5132,안산시,경기도,888,0.173031956,단원구,010-9863-6179
경기도 안산시 단원구 대부북동 181,경기도 안산시 단원구,41273000,대부초등학교 운동장,126.5803331,37.24524216,5978,안산시,경기도,578,0.096687855,단원구,010-2262-2372
경기도 안산시 단원구 선부동 1086-1,경기도 안산시 단원구,41273000,선부초등학교 운동장,126.813909,37.337891,6427,안산시,경기도,4111,0.639645247,단원구,010-8657-8779
경기도 안산시 단원구 선부동 1042-0,경기도 안산시 단원구,41273000,안산석수초등학교 운동장,126.8059183,37.34440705,6048,안산시,경기도,5712,0.944444444,단원구,010-6578-3048
경기도 안산시 단원구 선부동 962,경기도 안산시 단원구,41273000,원일초등학교 운동장,126.8037137,37.33250246,7608,안산시,경기도,6298,0.827812829,단원구,010-3072-8197
경기도 고양시 덕양구 화정동 867-0,경기도 고양시 덕양구,41281000,꽃물공원,126.830543,37.641145,9696,고양시,경기도,5962,0.614892739,덕양구,010-8571-9818
경기도 고양시 일산동구 풍동 1288-0,경기도 고양시 일산동구,41285000,풍산중학교 운동장,126.796973,37.666466,2303,고양시,경기도,2246,0.975249674,일산동구,010-9629-8673
경기도 고양시 일산동구 백석동 1188-0,경기도 고양시 일산동구,41285000,고양백석초등학교 운동장,126.789369,37.651721,4969,고양시,경기도,4040,0.813040853,일산동구,010-3876-1297
경기도 고양시 일산동구 풍동 1284,경기도 고양시 일산동구,41285000,풍산초등학교 운동장,126.7967435,37.66669979,520,고양시,경기도,343,0.659615385,일산동구,010-2356-2178
경기도 고양시 덕양구 화전동 274-3,경기도 고양시 덕양구,41281000,덕양중학교 운동장,126.8717223,37.60451459,5419,고양시,경기도,2724,0.50267577,덕양구,010-3000-4121
경기도 고양시 덕양구 향동동 24-1,경기도 고양시 덕양구,41281000,꽃향기공원,126.894058,37.606839,9696,고양시,경기도,924,0.09529703,덕양구,010-9796-4162
경기도 고양시 일산동구 식사동 916,경기도 고양시 일산동구,41285000,일산은행초등학교 운동장,126.8064988,37.66911093,3820,고양시,경기도,3797,0.993979058,일산동구,010-5154-9505
경기도 고양시 일산서구 일산동 630-1,경기도 고양시 일산서구,41287000,일산초등학교 운동장,126.7718416,37.68256303,5280,고양시,경기도,2930,0.554924242,일산서구,010-3933-1096
경기도 고양시 일산서구 일산동 1915-0,경기도 고양시 일산서구,41287000,현산중학교 운동장,126.7734315,37.69128365,3658,고양시,경기도,245,0.06697649,일산서구,010-3220-9143
경기도 고양시 일산서구 일산동 1400-0,경기도 고양시 일산서구,41287000,후동공원,126.76824,37.68029,16969,고양시,경기도,484,0.0285226,일산서구,010-9243-3984
경기도 고양시 일산동구 풍동 1287-0,경기도 고양시 일산동구,41285000,소나무공원,126.797825,37.664611,4242,고양시,경기도,570,0.13437058,일산동구,010-9185-7100
경기도 고양시 일산동구 풍동 1231-0,경기도 고양시 일산동구,41285000,풍동고학교 운동장,126.795602,37.671619,4000,고양시,경기도,3154,0.7885,일산동구,010-1930-6481
경기도 고양시 일산동구 사리현동 122-2,경기도 고양시 일산동구,41285000,벽제초등학교 운동장,126.8433623,37.69580357,9696,고양시,경기도,6785,0.699773102,일산동구,010-8793-5086
서울특별시 용산구 원효로2가 87-2,서울특별시 용산구 원효로2가,11170113,문화원 정자마당,126.9519344,37.5336766,752,용산구,서울특별시,697,0.926861702,원효로2가,010-8826-1916
서울특별시 용산구 청파동3가 118-102,서울특별시 용산구 청파동3가,11170111,돌모루어린이공원,126.9685015,37.54291691,2303,용산구,서울특별시,727,0.315675206,청파동3가,010-1348-8865
서울특별시 용산구 원효로2가 54-1,서울특별시 용산구 원효로2가,11170113,남정초등학교 운동장,126.9650647,37.53596157,3353,용산구,서울특별시,2126,0.634059052,원효로2가,010-7599-7022
서울특별시 용산구 청파동3가 131-2,서울특별시 용산구 청파동3가,11170111,선린인터넷고등학교 운동장,126.9669025,37.54229716,6872,용산구,서울특별시,6510,0.947322468,청파동3가,010-5393-6977
서울특별시 용산구 청파동3가 118-56,서울특별시 용산구 청파동3가,11170111,청파선린공원,126.9656651,37.54340272,2351,용산구,서울특별시,1055,0.448745215,청파동3가,010-4224-9870
서울특별시 중구 정동 27-3,서울특별시 중구 정동,11140167,창덕여자중학교 운동장,126.9695987,37.56656385,7235,중구,서울특별시,3237,0.447408431,정동,010-4125-6157
서울특별시 중구 순화동 1-1,서울특별시 중구 순화동,11140168,"이화여자외국어고등학교, 이화여자고등학교 운동장 및 노천극장",126.9701395,37.56448293,11090,중구,서울특별시,10344,0.932732191,순화동,010-6334-6305
경기도 고양시 일산서구 덕이동 350-2,경기도 고양시 일산서구,41287000,백송초등학교 운동장,126.7535803,37.70128761,3709,고양시,경기도,2010,0.541925047,일산서구,010-9243-6840
경기도 고양시 일산서구 덕이동 528,경기도 고양시 일산서구,41287000,덕이초등학교 운동장,126.7481131,37.692837,6277,고양시,경기도,4559,0.726302374,일산서구,010-7660-2215
경기도 고양시 일산서구 덕이동 산145-6,경기도 고양시 일산서구,41287000,덕이중학교 운동장,126.7534384,37.70237488,3259,고양시,경기도,2531,0.776618595,일산서구,010-9295-8961
경기도 남양주시 호평동 456-3,경기도 남양주시 호평동,41360101,판곡중학교 운동장,127.2420371,37.66217104,5757,남양주시,경기도,3523,0.611950669,호평동,010-3225-9824
