대피소명,위치,현재인원,수용가능인원,수용가능인원범위,경도,위도,시,구,읍면동,담당자 연락처,비율
인의푸르지오아파트 주차장,"경상북도 구미시 인동35길 33 (인의동, 구미인의푸르지오)",1251,2773,1000이상 5000이하,128.4347538,36.0984797,경상북도,구미시,인의동,010-2252-2543,0.45113595384060584
서한이다음1차아파트 주차장,"경상북도 구미시 여헌로 15 (인의동, 인동서한이다음)",2176,7345,5000이상,128.4239204,36.1035095,경상북도,구미시,인의동,010-1554-3169,0.2962559564329476
농협파머스마켓,"경상북도 영주시 구성로 25, 파머스마켓 (조암동)",4722,5379,5000이상,128.6315631,36.7958187,경상북도,영주시,조암동,010-7346-2467,0.8778583379810374
영주우체국,"경상북도 영주시 중앙로 49 (영주동, 영주우체국)",45,1446,1000이상 5000이하,128.6215981,36.8210745,경상북도,영주시,영주동,010-8310-5384,0.03112033195020747
영주시청 구내식당,"경상북도 영주시 시청로 1 (휴천동, 영주시청)",142,310,100이상 1000이하,128.624063,36.805667,경상북도,영주시,휴천동,010-3395-6496,0.45806451612903226
코아루아파트,"경상북도 영주시 원당로225번길 67 (상망동, 코아루아파트)",13940,18589,5000이상,128.6349726,36.8334995,경상북도,영주시,상망동,010-2786-2169,0.7499058583032977
스카이타운 아파트,경상북도 영주시 번영로 128 (하망동),600,2726,1000이상 5000이하,128.6273278,36.8234173,경상북도,영주시,하망동,010-5814-5295,0.22010271460014674
세영첼시빌 아파트,"경상북도 영주시 남간로71번길 10 (휴천동, 세영첼시빌)",880,1478,1000이상 5000이하,128.6365638,36.8190082,경상북도,영주시,휴천동,010-6082-1684,0.5953991880920162
진평주공 108동앞 주차장,"경상북도 구미시 인동26길 65 (진평동, 구미진평주공미래타운)",3657,3979,1000이상 5000이하,128.4240256,36.0914521,경상북도,구미시,진평동,010-4262-1708,0.9190751445086706
영주여자중학교,"경상북도 영주시 신재로 14 (가흥동, 영주여자중학교)",236,324,100이상 1000이하,128.6108228,36.8320958,경상북도,영주시,가흥동,010-1442-7015,0.7283950617283951
상모한신휴플러스(지하주차장),"경상북도 구미시 박정희로 76 (상모동, 상모한신휴플러스)",3522,4909,1000이상 5000이하,128.3524274,36.0856291,경상북도,구미시,상모동,010-2528-6766,0.7174577306987167
정우공원맨션 14차,경상북도 구미시 형곡로32길 17 (형곡동),197,346,100이상 1000이하,128.3378375,36.1056821,경상북도,구미시,형곡동,010-3241-9696,0.569364161849711
푸르지오캐슬B단지 지하주차장,"경상북도 구미시 산책길 7 (송정동, 푸르지오캐슬B단지아파트)",21295,23048,5000이상,128.3356954,36.1243328,경상북도,구미시,송정동,010-1258-2272,0.9239413398125651
동방주택6차 지하1층 주차장,경상북도 구미시 원남로2길 9 (남통동),33,208,100이상 1000이하,128.3211955,36.1303339,경상북도,구미시,남통동,010-3815-1543,0.15865384615384615
대성맨션,"경상북도 구미시 형곡로19길 10 (형곡동, 대성맨션)",146,203,100이상 1000이하,128.3330699,36.1103114,경상북도,구미시,형곡동,010-2042-7737,0.7192118226600985
동산그린빌라,"경상북도 구미시 형곡동로6길 16-9 (형곡동, 동산그린빌라)",31,223,100이상 1000이하,128.3378546,36.1048542,경상북도,구미시,형곡동,010-7889-3963,0.13901345291479822
가흥동 현대아파트,"경상북도 영주시 신재로12번길 67 (가흥동, 현대아파트)",2329,2544,1000이상 5000이하,128.61075,36.8341987,경상북도,영주시,가흥동,010-3690-2592,0.9154874213836478
금오청구타운 지하1층 주차장,"경상북도 구미시 원남로 12-13 (남통동, 금오청구타운)",439,12989,5000이상,128.3233375,36.1291752,경상북도,구미시,남통동,010-5654-8242,0.033797828932173375
구미차병원(장례식장),경상북도 구미시 신시로10길 12-0 (형곡동),825,5913,5000이상,128.3405414,36.1145325,경상북도,구미시,형곡동,010-4910-8625,0.13952308472856417
삼우형구타운,경상북도 구미시 경은로 8-5 (형곡동),890,1482,1000이상 5000이하,128.3378112,36.1152899,경상북도,구미시,형곡동,010-6680-8153,0.6005398110661269
진평주공 106동앞 주차장,"경상북도 구미시 인동26길 65 (진평동, 구미진평주공미래타운)",4173,5218,5000이상,128.4240256,36.0914521,경상북도,구미시,진평동,010-1880-5264,0.7997316979685704
양포동주민센터 지하1층,"경상북도 구미시 산호대로35길 6 (옥계동, 양포동주민센터)",13,169,100이상 1000이하,128.4258,36.1369821,경상북도,구미시,옥계동,010-1005-3059,0.07692307692307693
협진골든맨션,"경상북도 구미시 신시로4길 9 (형곡동, 골든맨션)",511,536,100이상 1000이하,128.3401226,36.1103571,경상북도,구미시,형곡동,010-6046-6329,0.9533582089552238
남산현대아파트,"경상북도 영주시 구성로142번길 20 (휴천동, 남산현대아파트)",3916,6992,5000이상,128.6304475,36.8053031,경상북도,영주시,휴천동,010-9636-5576,0.5600686498855835
영주폴리텍VI대학 본관,경상북도 영주시 가흥로 2 (문정동),256,396,100이상 1000이하,128.6009807,36.8012031,경상북도,영주시,문정동,010-3172-8502,0.6464646464646465
현대2차강변아파트,"경상북도 영주시 대동로 98 (가흥동, 현대2차강변아파트)",259,3164,1000이상 5000이하,128.61334,36.81447,경상북도,영주시,가흥동,010-7786-3635,0.08185840707964602
코오롱인더스트리 1식당 지하1층,"경상북도 구미시 수출대로 48 (공단동, 코오롱)",551,1218,1000이상 5000이하,128.3749856,36.1029792,경상북도,구미시,공단동,010-7826-2493,0.4523809523809524
옥계 더힐 아파트 지하주차장 1층~2층,"경상북도 구미시 옥계북로 43-48 (옥계동, 옥계 더힐 아파트)",10709,16870,5000이상,128.4250289,36.141318,경상북도,구미시,옥계동,010-4207-9590,0.63479549496147
구미옥계휴먼시아 2단지 지하주차장 1층~3층,"경상북도 구미시 옥계북로 43-52 (옥계동, 구미옥계휴먼시아 2단지)",6835,25163,5000이상,128.4248482,36.142742,경상북도,구미시,옥계동,010-4460-6189,0.2716289790565513
청산빌라 지하1층 주차장,경상북도 구미시 원남로 51 (원평동),796,809,100이상 1000이하,128.3269151,36.1288862,경상북도,구미시,원평동,010-8426-2802,0.9839307787391842
영덕군청(본청 지하),경상북도 영덕군 영덕읍 군청길 116 (영덕군청),267,623,100이상 1000이하,129.365267,36.415034,경상북도,영덕군,영덕읍,010-4006-6592,0.42857142857142855
영덕경찰서(본청 지하),경상북도 영덕군 영덕읍 남산1길 14 (영덕경찰서),355,868,100이상 1000이하,129.3699608,36.4007362,경상북도,영덕군,영덕읍,010-3270-6582,0.40898617511520735
영덕교육지원청(본청 지하),경상북도 영덕군 영덕읍 읍사무소1길 32-15 (영덕교육지원청),18,261,100이상 1000이하,129.3739106,36.4089624,경상북도,영덕군,영덕읍,010-4606-8041,0.06896551724137931
태양맨션(지하주차장),경상북도 영덕군 영덕읍 강영로 504 (태양맨숀),152,493,100이상 1000이하,129.3760979,36.4039461,경상북도,영덕군,영덕읍,010-6520-6213,0.30831643002028397
화성라온빌아파트,"경상북도 영주시 남간로71번길 46 (휴천동, 화성라온빌)",432,675,100이상 1000이하,128.6361978,36.8204636,경상북도,영주시,휴천동,010-4566-8803,0.64
경일미래타운아파트,"경상북도 영주시 웃무리로13번길 15 (상망동, 경일미래타운)",3015,3225,1000이상 5000이하,128.638525,36.8273917,경상북도,영주시,상망동,010-8803-2597,0.9348837209302325
벨리나웨딩홀,경상북도 영주시 선비로 104 (휴천동),23,953,100이상 1000이하,128.6230009,36.8143878,경상북도,영주시,휴천동,010-5454-3174,0.024134312696747113
현대2차 아파트,"경상북도 영주시 지천로50번길 38 (휴천동, 휴천2차현대아파트)",3500,8665,5000이상,128.6218844,36.8051314,경상북도,영주시,휴천동,010-7099-4936,0.4039238315060589
우방 아이유쉘 1차아파트 지하주차장,경상북도 예천군 호명면 검무로 17(우방아이유쉘1차),7564,18418,5000이상,128.4929916,36.5772225,경상북도,예천군,호명면,010-4348-1990,0.4106851992615919
우방 아이유쉘 2차아파트 지하주차장,경상북도 예천군 호명면 행복로 230(우방아이유쉘2차),13608,16160,5000이상,128.4872636,36.5773724,경상북도,예천군,호명면,010-5804-1698,0.842079207920792
우방 아이유쉘 센텀아파트 지하주차장,경상북도 예천군 호명면 검무로 27(경북도청신도시우방아이유쉘센텀),1616,47066,5000이상,128.4942804,36.579081,경상북도,예천군,호명면,010-5186-9244,0.034334763948497854
우방 아이유쉘 센트럴아파트 지하주차장,경상북도 예천군 호명면 행복로 229(경북도청신도시우방아이유쉘센트럴),2796,32147,5000이상,128.4897028,36.5781171,경상북도,예천군,호명면,010-8410-6109,0.0869754564967182
호반 베르디움 2차아파트 지하주차장,경상북도 예천군 호명면 양지로 14(경북도청신도시 호반베르디움2차),46556,47974,5000이상,128.4823148,36.5765699,경상북도,예천군,호명면,010-3358-3227,0.9704423229249176
두산맨션(지하주차장),"경상북도 구미시 문장로 121-14 (도량동, 도량두산맨션)",217,899,100이상 1000이하,128.3295193,36.1443083,경상북도,구미시,도량동,010-5272-7378,0.2413793103448276
현대아파트 106동 지하1층 주차장(관리사무소앞),경상북도 구미시 봉곡남로 148-0 (봉곡동),734,829,100이상 1000이하,128.3178273,36.15067,경상북도,구미시,봉곡동,010-2080-9613,0.8854041013268998
진주맨션2차,"경상북도 구미시 형곡동로2길 5-7 (형곡동, 도시주택진주맨션2차)",2530,3692,1000이상 5000이하,128.336325,36.1038821,경상북도,구미시,형곡동,010-7442-8851,0.6852654387865655
트레젠웰가 상가오피스텔 지하주차장,"경상북도 예천군 호명면 행복4길 25, 트레젠웰가",2988,3735,1000이상 5000이하,128.4713462,36.5762934,경상북도,예천군,호명면,010-2005-9286,0.8
에비뉴시티 오피스텔 지하주차장,"경상북도 예천군 호명면 양지9길 18, 에비뉴시티",1600,2580,1000이상 5000이하,128.476216,36.5762169,경상북도,예천군,호명면,010-8593-9618,0.6201550387596899
신평2동행정복지센터,"경상북도 구미시 신비로7길 9, 신평2동 행정복지센터 (신평동)",146,296,100이상 1000이하,128.3657125,36.1231654,경상북도,구미시,신평동,010-6295-7650,0.49324324324324326
남통e편한세상 지하주차장(후문)(지하1층),"경상북도 구미시 선기로 77 (남통동, 남통e편한세상)",4235,42240,5000이상,128.3158516,36.1293072,경상북도,구미시,남통동,010-5313-3667,0.10026041666666667
두산맨션,경상북도 구미시 형곡동로4길 5-3 (형곡동),248,804,100이상 1000이하,128.3363572,36.1044953,경상북도,구미시,형곡동,010-7043-7828,0.30845771144278605
구미임은삼도뷰엔빌아파트,"경상북도 구미시 왕산로 28-12 (임은동, 구미임은삼도뷰엔빌W)",954,43896,5000이상,128.3628926,36.0851244,경상북도,구미시,임은동,010-7983-2373,0.02173318753417168
임은코오롱하늘채,"경상북도 구미시 왕산로 28-13 (임은동, 임은코오롱하늘채)",12890,37261,5000이상,128.3663413,36.0855461,경상북도,구미시,임은동,010-7711-1824,0.34593811223531307
임은태왕아너스파크,"경상북도 구미시 왕산로 70-9 (임은동, 임은태왕아너스파크)",1846,2888,1000이상 5000이하,128.3691601,36.0858481,경상북도,구미시,임은동,010-9017-9958,0.639196675900277
영주기독병원,경상북도 영주시 구성로 380 (영주동),52,160,100이상 1000이하,128.6211144,36.8251759,경상북도,영주시,영주동,010-2148-3675,0.325
시민회관,"경상북도 영주시 선비로 213 (영주동, 시민회관)",333,336,100이상 1000이하,128.6168975,36.8232138,경상북도,영주시,영주동,010-5695-5318,0.9910714285714286
남서울예식장,경상북도 영주시 광복로32번길 16 (영주동),254,361,100이상 1000이하,128.6215534,36.8273183,경상북도,영주시,영주동,010-8895-3048,0.703601108033241
영주제일교회,경상북도 영주시 광복로 37 (영주동),159,227,100이상 1000이하,128.6223052,36.8282672,경상북도,영주시,영주동,010-5224-6176,0.7004405286343612
성조아파트 101동 지하주차장,경상북도 청도군 청도읍 고수뒷길 74-16 (성조타운),1542,1733,1000이상 5000이하,128.7421016,35.6411975,경상북도,청도군,청도읍,010-5989-5463,0.8897864974033468
동진타워아파트,"경상북도 영주시 선비로 223 (영주동, 동진타워아파트)",3018,3157,1000이상 5000이하,128.6171032,36.8238235,경상북도,영주시,영주동,010-1750-7448,0.9559708584098828
대동타운1차,"경상북도 구미시 금오대로20길 33 (오태동, 대동타운1차)",221,320,100이상 1000이하,128.3536081,36.0704925,경상북도,구미시,오태동,010-3291-8526,0.690625
구미소방서 지하1층,"경상북도 구미시 수출대로 112 (공단동, 구미소방서)",357,441,100이상 1000이하,128.376463,36.110565,경상북도,구미시,공단동,010-9233-5134,0.8095238095238095
형곡삼우타운,"경상북도 구미시 형곡로33길 46 (형곡동, 형곡삼우타운)",192,4689,1000이상 5000이하,128.3388443,36.1100782,경상북도,구미시,형곡동,010-9855-5235,0.04094689699296225
한화시스템 본관동 지하1층,경상북도 구미시 1공단로 244 (공단동),1062,1673,1000이상 5000이하,128.3909225,36.1005748,경상북도,구미시,공단동,010-3009-3018,0.6347878063359235
현진에버빌 3주차장(지하1층),"경상북도 구미시 도봉로 10 (봉곡동, 현진에버빌)",824,6572,5000이상,128.3146936,36.1402663,경상북도,구미시,봉곡동,010-2477-7468,0.12538040170419965
대동2차행복타운,"경상북도 구미시 금오대로10길 47 (오태동, 행복타운)",107,441,100이상 1000이하,128.3526692,36.0680247,경상북도,구미시,오태동,010-2022-2791,0.24263038548752835
엘지이노텍(주)구미2공장 본관동(A동) 지하1층,"경상북도 구미시 옥계2공단로 221 (구포동, 엘지이노텍(주)구미2공장)",1072,2273,1000이상 5000이하,128.4137125,36.1276571,경상북도,구미시,구포동,010-3201-6038,0.471623405191377
화양읍사무소 창고,경상북도 청도군 화양읍 도주관로 159 (화양읍사무소),105,122,100이상 1000이하,128.706138,35.649865,경상북도,청도군,화양읍,010-9961-1721,0.860655737704918
삼우맨션(902동),경상북도 구미시 형곡로41길 16-1 (형곡동),87,313,100이상 1000이하,128.3407256,36.1102955,경상북도,구미시,형곡동,010-4078-9654,0.2779552715654952
이구로얄2차맨션,"경상북도 구미시 형곡동로 81 (형곡동, 이구로얄2차아파트)",279,2161,1000이상 5000이하,128.3357715,36.1096079,경상북도,구미시,형곡동,010-6750-7768,0.12910689495603886
형곡4주공아파트,경상북도 구미시 신시로 37 (형곡동),139,284,100이상 1000이하,128.3374048,36.1105596,경상북도,구미시,형곡동,010-3012-3507,0.4894366197183099
한가람빌리지,"경상북도 구미시 백산로5길 6, 가동 (송정동, 한가람빌리지)",346,424,100이상 1000이하,128.3441124,36.1209754,경상북도,구미시,송정동,010-3249-8474,0.8160377358490566
파크맨션(P-3 지하주차장),"경상북도 구미시 송동로 154 (도량동, 파크맨션)",1853,2278,1000이상 5000이하,128.3243526,36.1476522,경상북도,구미시,도량동,010-5753-5429,0.8134328358208955
봉곡뜨란채104동 지하1층 주차장,"경상북도 구미시 도봉로5길 13 (봉곡동, 구미봉곡뜨란채)",486,1875,1000이상 5000이하,128.315093,36.1426226,경상북도,구미시,봉곡동,010-9156-5188,0.2592
우성아파트(전동지하) 지하 1층,경상북도 의성군 의성읍 의성사곡로 10 (우성아파트),701,801,100이상 1000이하,128.7102899,36.3503394,경상북도,의성군,의성읍,010-9278-3402,0.8751560549313359
무지개2차,"경상북도 구미시 형곡서로1길 17 (형곡동, 무지개2차APT)",136,197,100이상 1000이하,128.3329,36.1061904,경상북도,구미시,형곡동,010-2273-4781,0.6903553299492385
삼성SDI 구미사업장 (24동 물류동 지하1층),"경상북도 구미시 구미대로 58 (공단동, 삼성SDI구미사업장)",630,926,100이상 1000이하,128.3642114,36.0897117,경상북도,구미시,공단동,010-2101-4548,0.6803455723542117
우림필유아파트,경상북도 구미시 수출대로3길 130 (공단동),24974,33534,5000이상,128.3728435,36.1229101,경상북도,구미시,공단동,010-3418-6638,0.7447366851553647
푸르지오캐슬A단지 104동 앞,"경상북도 구미시 박정희로 599-0 (송정동, 푸르지오캐슬A단지)",5344,13259,5000이상,128.3395922,36.1233151,경상북도,구미시,송정동,010-7494-4998,0.4030469869522588
구미옥계 e편한세상 (103동),"경상북도 구미시 산호대로39길 25 (옥계동, 구미옥계 e-편한세상)",4593,10000,5000이상,128.4355906,36.1404551,경상북도,구미시,옥계동,010-1239-5756,0.4593
구미옥계우미린 지하주차장 1층,"경상북도 구미시 해마루공원로 111 (옥계동, 구미옥계우미린)",22856,45766,5000이상,128.4274997,36.1419558,경상북도,구미시,옥계동,010-9074-6125,0.49941004238954684
상리휴먼시아(전동지하) 지하 1층,경상북도 의성군 의성읍 동서1길 114,34,3368,1000이상 5000이하,128.708275,36.350125,경상북도,의성군,의성읍,010-5936-7802,0.010095011876484561
원평대동아파트 지하1층 주차장,"경상북도 구미시 원남로4길 5-0 (원평동, 대동타운)",1619,3105,1000이상 5000이하,128.328325,36.1278321,경상북도,구미시,원평동,010-5634-9987,0.5214170692431562
우방신세계아파트2단지(204동~206동),"경상북도 구미시 상사서로 17 (상모동, 우방신세계타운2단지)",4219,5677,5000이상,128.3561972,36.0838606,경상북도,구미시,상모동,010-1666-1040,0.7431742117315484
상모두산맨션아파트(지하주차장),"경상북도 구미시 상모로 6 (상모동, 상모두산맨션)",400,901,100이상 1000이하,128.350875,36.0882904,경상북도,구미시,상모동,010-3129-1276,0.4439511653718091
보성황실1차아파트 지하주차장(107동~108동),"경상북도 구미시 상사서로 128 (사곡동, 보성1차황실타운)",5319,6593,5000이상,128.3564894,36.0942891,경상북도,구미시,사곡동,010-3913-2599,0.806764750492947
보성황실2차아파트지하주차장(101동~102동),"경상북도 구미시 상사동로28길 11 (사곡동, 보성2차황실타운)",3549,7379,5000이상,128.3604969,36.1017067,경상북도,구미시,사곡동,010-6467-7692,0.4809594796042824
화성파크프레지던트1단지아파트(지하주차장),"경상북도 구미시 상모로10길 40 (상모동, 화성파크프레지던트1단지)",1685,5496,5000이상,128.3565672,36.0864468,경상북도,구미시,상모동,010-9082-1226,0.3065866084425036
엘지유니참(주) (지하1층),경상북도 구미시 수출대로 97 (공단동),64,721,100이상 1000이하,128.375287,36.1115378,경상북도,구미시,공단동,010-6247-7055,0.08876560332871013
(주)피앤큐텍 2공장,경상북도 구미시 수출대로9길 16 (공단동),83,160,100이상 1000이하,128.38075,36.1129154,경상북도,구미시,공단동,010-2888-7027,0.51875
세양청마루아파트(지하주차장),"경상북도 구미시 박정희로 90-14 (상모동, 세양청마루아파트)",5895,6267,5000이상,128.3516831,36.0869509,경상북도,구미시,상모동,010-3075-2433,0.9406414552417425
벽산아파트,"경상북도 구미시 비산로5길 19 (비산동, 벽산아파트)",1588,3294,1000이상 5000이하,128.3793484,36.1214746,경상북도,구미시,비산동,010-8186-1207,0.4820886460230723
강변보성타운,"경상북도 구미시 산호대로 423 (비산동, 강변보성타운)",80,4415,1000이상 5000이하,128.3835222,36.122192,경상북도,구미시,비산동,010-1523-4762,0.01812004530011325
구미시청,경상북도 구미시 송정대로 55 (송정동),707,1193,1000이상 5000이하,128.3443,36.1195987,경상북도,구미시,송정동,010-4080-2281,0.5926236378876781
우방2차아파트,"경상북도 구미시 박정희로 511 (송정동, 우방타운)",19,1334,1000이상 5000이하,128.3481571,36.1213065,경상북도,구미시,송정동,010-3903-9536,0.01424287856071964
청송군청(지하1층),경상북도 청송군 청송읍 군청로 51 (청송군청),18,254,100이상 1000이하,129.0571263,36.4362793,경상북도,청송군,청송읍,010-4776-2835,0.07086614173228346
상주시청(시 청사),"경상북도 상주시 상산로 223 (남성동, 상주시청)",339,396,100이상 1000이하,128.159229,36.411002,경상북도,상주시,남성동,010-3040-3955,0.8560606060606061
세종타운 지하주차장,경상북도 예천군 예천읍 효자로 40(세종타운),108,590,100이상 1000이하,128.4489423,36.6547166,경상북도,예천군,예천읍,010-4359-9655,0.18305084745762712
두영서부빌라트 지하주차장,경상북도 예천군 예천읍 효자로 31(두영서부빌라트),254,747,100이상 1000이하,128.4479496,36.6543462,경상북도,예천군,예천읍,010-2474-5086,0.34002677376171353
두산그린맨션 지하1층 주차장,"경상북도 구미시 선기로1길 21 (남통동, 그린두산맨션)",892,4134,1000이상 5000이하,128.3199996,36.1289858,경상북도,구미시,남통동,010-9477-9099,0.21577164973391388
비산동 주민센터,"경상북도 구미시 비산로 4, 비산동행정복지센터 (공단동)",109,147,100이상 1000이하,128.3722,36.119324,경상북도,구미시,공단동,010-5337-7599,0.7414965986394558
전원리빙필(비산),"경상북도 구미시 비산로1길 4 (비산동, 비산전원리빙필)",170,871,100이상 1000이하,128.3746157,36.1200947,경상북도,구미시,비산동,010-7870-8299,0.19517795637198623
오성전자,"경상북도 구미시 산호대로 335-4 (공단동, (주)오성전자)",666,1001,1000이상 5000이하,128.3847774,36.114362,경상북도,구미시,공단동,010-1657-2713,0.6653346653346653
상주적십자병원,경상북도 상주시 상서문로 53(남성동),433,1522,1000이상 5000이하,128.1555556,36.4146221,경상북도,상주시,남성동,010-8629-8085,0.2844940867279895
명지1차아파트,"경상북도 상주시 경상대로 2930-10(낙양동, 낙양동명지아파트)",4101,4183,1000이상 5000이하,128.1514615,36.4077669,경상북도,상주시,낙양동,010-6188-2033,0.9803968443700694
KT 상주지사,"경상북도 상주시 상산로 389 (냉림동, KT)",198,523,100이상 1000이하,128.1580329,36.4258975,경상북도,상주시,냉림동,010-9766-4135,0.37858508604206503
진보문화센터(지하1층),경상북도 청송군 진보면 진보로 187 (진보문화체육센터),13,261,100이상 1000이하,129.0518909,36.529816,경상북도,청송군,진보면,010-9676-5918,0.04980842911877394
청송군보건의료원(지하1층),경상북도 청송군 청송읍 의료원길 19,348,801,100이상 1000이하,129.0526302,36.4310215,경상북도,청송군,청송읍,010-3862-6507,0.4344569288389513
명지3차아파트,"경상북도 상주시 경상대로 2749-10 (신봉동, 명지3차아파트)",579,3963,1000이상 5000이하,128.1513543,36.3934162,경상북도,상주시,신봉동,010-8476-6917,0.1461014383043149
세아아파트101동 지하주차장,경상북도 예천군 예천읍 양궁로 83(예천세아아파트),330,607,100이상 1000이하,128.4637125,36.6457404,경상북도,예천군,예천읍,010-8281-6533,0.5436573311367381
세아아파트102동 지하주차장,경상북도 예천군 예천읍 양궁로 83(예천세아아파트),27,585,100이상 1000이하,128.4637125,36.6457404,경상북도,예천군,예천읍,010-4014-6205,0.046153846153846156
장미마을아파트101동 지하주차장,경상북도 예천군 예천읍 대심1길 19(장미마을아파트),439,621,100이상 1000이하,128.4412005,36.6488743,경상북도,예천군,예천읍,010-5124-9154,0.7069243156199678
보건소 지하공간,"경상북도 예천군 예천읍 군청길 33, 예천군보건소",135,181,100이상 1000이하,128.4529725,36.6577322,경상북도,예천군,예천읍,010-7231-8156,0.7458563535911602
예천우체국 지하공간,"경상북도 예천군 예천읍 군청길 27, 예천우체국",75,83,0이상 100이하,128.4524305,36.6570827,경상북도,예천군,예천읍,010-8808-2384,0.9036144578313253
대심주공아파트 지하주차장,경상북도 예천군 예천읍 봉덕로 52(주공아파트),28,1063,1000이상 5000이하,128.4415317,36.6529579,경상북도,예천군,예천읍,010-2362-2509,0.02634054562558796
대심주공아파트 103동 지하공간,경상북도 예천군 예천읍 봉덕로 52(주공아파트),9,136,100이상 1000이하,128.4415317,36.6529579,경상북도,예천군,예천읍,010-6932-8871,0.0661764705882353
장미마을아파트103동 지하주차장,경상북도 예천군 예천읍 대심1길 19(장미마을아파트),520,939,100이상 1000이하,128.4412005,36.6488743,경상북도,예천군,예천읍,010-3306-8542,0.5537806176783813
화진금봉4차아파트 지하주차장,"경상북도 구미시 검성로 103-40 (황상동, 금봉타운4차)",43,601,100이상 1000이하,128.4319337,36.1190397,경상북도,구미시,황상동,010-7955-2088,0.07154742096505824
인의주공 206동옆 주차장,"경상북도 구미시 인동16길 47-4 (진평동, 구미인의주공아파트)",2491,3176,1000이상 5000이하,128.4211491,36.0972234,경상북도,구미시,진평동,010-7422-7145,0.7843198992443325
구미옥계 e편한세상 지하주차장 1층,"경상북도 구미시 산호대로39길 25 (옥계동, 구미옥계 e-편한세상)",8619,16000,5000이상,128.4355906,36.1404551,경상북도,구미시,옥계동,010-8230-9542,0.5386875
주왕산온천관광호텔(지하1층),경상북도 청송군 청송읍 중앙로 315 (주왕산관광호텔),331,1030,1000이상 5000이하,129.0629165,36.4359293,경상북도,청송군,청송읍,010-6965-8500,0.3213592233009709
상주소방서,"경상북도 상주시 상산로 322 (서성동, 상주소방서)",127,206,100이상 1000이하,128.159516,36.4196428,경상북도,상주시,서성동,010-7228-9009,0.616504854368932
경희삼백1차아파트,"경상북도 상주시 성동1길 74 (성동동, 경희삼백아파트)",2417,2664,1000이상 5000이하,128.1691325,36.414455,경상북도,상주시,성동동,010-2710-9593,0.9072822822822822
경희삼백2차아파트,"경상북도 상주시 낙양3길 31 (낙양동, 경희삼백아파트)",1920,2299,1000이상 5000이하,128.1502509,36.4104379,경상북도,상주시,낙양동,010-7029-2246,0.8351457155284906
상주시공영유료주차장,경상북도 상주시 상산로 256-5 (남성동),385,1726,1000이상 5000이하,128.1598433,36.4136304,경상북도,상주시,남성동,010-7795-4435,0.2230590961761298
사벌면사무소,경상북도 상주시 사벌면 덕담1길 39-0,28,92,0이상 100이하,128.208587,36.466368,경상북도,상주시,사벌면,010-7547-6184,0.30434782608695654
국민은행 상주지점,경상북도 상주시 상산로 269 (남성동),124,448,100이상 1000이하,128.159,36.414982,경상북도,상주시,남성동,010-6557-4773,0.2767857142857143
삼우목련아파트 지하주차장,경상북도 예천군 예천읍 대심3길 35-19(삼우목련아파트),410,1254,1000이상 5000이하,128.442226,36.6513021,경상북도,예천군,예천읍,010-3164-6421,0.3269537480063796
무궁화아파트 지하주차장,경상북도 예천군 예천읍 군청길 44(무궁화아파트),78,111,100이상 1000이하,128.4543057,36.657615,경상북도,예천군,예천읍,010-9318-6215,0.7027027027027027
